
--- onuAuthenSN ---
  gpon0/0/1/1: 44:42:31:32:E6:DE:23:6D
  gpon0/0/1/2: 48:57:54:43:EA:6B:A3:57
  gpon0/0/1/3: 48:57:54:43:03:01:42:40
  gpon0/0/1/4: 42:54:50:54:DD:2C:88:59
  gpon0/0/1/5: 43:44:54:43:1D:39:CA:0D
  gpon0/0/1/6: 58:50:4F:4E:9E:50:4D:AC
  gpon0/0/1/7: 48:57:54:43:06:05:70:F0
  gpon0/0/1/8: 48:57:54:43:06:11:07:10
  gpon0/0/1/9: 44:42:31:32:E6:DE:23:DD
  gpon0/0/1/10: 48:57:54:43:02:18:3A:40
  gpon0/0/1/11: 48:57:54:43:9E:70:7A:46
  gpon0/0/1/12: 48:57:54:43:03:01:5A:F0
  gpon0/0/1/13: 48:57:54:43:04:16:B9:80
  gpon0/0/1/14: 48:57:54:43:00:DE:A8:5F
  gpon0/0/1/15: 56:53:4F:4C:00:9A:D5:D1
  gpon0/0/1/16: 42:54:50:54:DD:36:69:E0
  gpon0/0/1/17: 4D:4F:4E:55:00:F5:EB:C1
  gpon0/0/1/18: 48:57:54:43:07:22:16:E0
  gpon0/0/1/19: 56:53:4F:4C:00:B5:13:51
  gpon0/0/1/20: 48:57:54:43:09:09:03:90
  gpon0/0/1/21: 56:53:4F:4C:00:9A:B0:E1
  gpon0/0/1/22: 48:57:54:43:9E:84:9D:60
  gpon0/0/1/23: 48:57:54:43:11:23:37:20
  gpon0/0/1/24: 44:42:31:32:E6:DE:26:3D
  gpon0/0/1/25: 44:30:31:32:6A:79:B9:6E
  gpon0/0/1/26: 42:54:50:54:DD:2C:D3:91
  gpon0/0/1/27: 48:57:54:43:08:09:92:D0
  gpon0/0/1/28: 44:42:31:32:E6:DE:26:67
  gpon0/0/1/29: 44:30:31:32:6A:79:B9:46
  gpon0/0/1/30: 48:57:54:43:9E:84:CA:D8
  gpon0/0/1/31: 44:30:31:31:A6:C5:F4:98
  gpon0/0/1/32: 44:46:31:42:A6:F9:53:DC
  gpon0/0/1/33: 48:57:54:43:9E:92:96:BC
  gpon0/0/1/34: 42:54:50:54:DD:2C:B8:C3
  gpon0/0/1/35: 42:54:50:54:DD:34:58:66
  gpon0/0/1/36: 48:57:54:43:03:02:44:70
  gpon0/0/1/37: 53:4B:59:4C:B8:BB:1A:D1
